ID_EXT;МАРКА;МОДЕЛЬ;ГОД;ЗАПЧАСТЬ;ВЕРСИЯ;ТОПЛИВО;ОБЪЕМ;ТИП ДВИГАТЕЛЯ;КОРОБКА;ТИП КУЗОВА;R ДИАМЕТР;J ШИРИНА;КОЛ ОТВЕРСТИЙ;ET ВЫЛЕТ;DIA;PCD;НОМЕР;ОПИСАНИЕ;НОВАЯ;ПОД ЗАКАЗ;СКЛАДСКАЯ ИНФОРМАЦИЯ;ЦЕНА;ВАЛЮТА;СКИДКА;АДРЕС;ТЕЛЕФОНЫ;EMAIL;ИМЯ;ФОТО
003217;Audi;A2;2004;Двигатель;;бензин;1.6;i;МКПП;Х/б;;;;;;;BAD;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;600;USD;;;;;;https://bas.avax.by/zap_images/003217/003217-dvigatel-Audi-A2-4.jpeg,https://bas.avax.by/zap_images/003217/003217-dvigatel-Audi-A2-3.jpeg,https://bas.avax.by/zap_images/003217/003217-dvigatel-Audi-A2-2.jpeg,https://bas.avax.by/zap_images/003217/003217-dvigatel-Audi-A2-1.jpeg,https://bas.avax.by/zap_images/003217/003217-dvigatel-Audi-A2.jpeg
003251;Audi;A3;1998;Двигатель;;бензин;1.8;i;МКПП;Х/б;;;;;;;AGN;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/003251/003251-dvigatel-Audi-A3-4.jpeg,https://bas.avax.by/zap_images/003251/003251-dvigatel-Audi-A3-3.jpeg,https://bas.avax.by/zap_images/003251/003251-dvigatel-Audi-A3-2.jpeg,https://bas.avax.by/zap_images/003251/003251-dvigatel-Audi-A3.jpeg,https://bas.avax.by/zap_images/003251/003251-dvigatel-Audi-A3-1.jpeg
003319;Audi;A3;2003;Двигатель;;бензин;1.6;i;МКПП;Х/б;;;;;;;BAG;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;500;USD;;;;;;https://bas.avax.by/zap_images/003319/003319-dvigatel-Audi-A3-4.jpeg,https://bas.avax.by/zap_images/003319/003319-dvigatel-Audi-A3-3.jpeg,https://bas.avax.by/zap_images/003319/003319-dvigatel-Audi-A3-2.jpeg,https://bas.avax.by/zap_images/003319/003319-dvigatel-Audi-A3-1.jpeg,https://bas.avax.by/zap_images/003319/003319-dvigatel-Audi-A3.jpeg
003042;Audi;A3;2007;Двигатель;;дизель;2.0;TDI;МКПП.;Х/б;;;;;;;BMN;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;700;USD;;;;;;https://bas.avax.by/zap_images/003042/003042-dvigatel-Audi-A3-4.jpeg,https://bas.avax.by/zap_images/003042/003042-dvigatel-Audi-A3-3.jpeg,https://bas.avax.by/zap_images/003042/003042-dvigatel-Audi-A3-1.jpeg,https://bas.avax.by/zap_images/003042/003042-dvigatel-Audi-A3.jpeg,https://bas.avax.by/zap_images/003042/003042-dvigatel-Audi-A3-2.jpeg
002810;Audi;A3;2008;Двигатель;;дизель;2.0;TDI;МКПП;Х/б;;;;;;;BMN;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;700;USD;;;;;;https://bas.avax.by/zap_images/002810/002810-dvigatel-Audi-A3-4.jpeg,https://bas.avax.by/zap_images/002810/002810-dvigatel-Audi-A3-3.jpeg,https://bas.avax.by/zap_images/002810/002810-dvigatel-Audi-A3-2.jpeg,https://bas.avax.by/zap_images/002810/002810-dvigatel-Audi-A3-1.jpeg,https://bas.avax.by/zap_images/002810/002810-dvigatel-Audi-A3.jpeg
000126;Audi;A3;2008;Двигатель;;бензин;1.8;TFSI;;Х/б;;;;;;;BYT;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1850;USD;;;;;;https://bas.avax.by/zap_images/000126/000126-dvigatel-Audi-A3-5.jpeg,https://bas.avax.by/zap_images/000126/000126-dvigatel-Audi-A3-4.jpeg,https://bas.avax.by/zap_images/000126/000126-dvigatel-Audi-A3-3.jpeg,https://bas.avax.by/zap_images/000126/000126-dvigatel-Audi-A3-2.jpeg,https://bas.avax.by/zap_images/000126/000126-dvigatel-Audi-A3-1.jpeg,https://bas.avax.by/zap_images/000126/000126-dvigatel-Audi-A3.jpeg
001486;Audi;A4;2006;Двигатель;;дизель;3.0;TDI;МКПП;Седан;;;;;;;ASB;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1550;USD;;;;;;https://bas.avax.by/zap_images/001486/001486-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/001486/001486-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/001486/001486-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/001486/001486-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/001486/001486-dvigatel-Audi-A4.jpeg
000474;Audi;A4;2005;Двигатель;;бензин;2.0;i;МКПП;Седан;;;;;;;BGB;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;950;USD;;;;;;https://bas.avax.by/zap_images/000474/000474-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/000474/000474-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/000474/000474-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/000474/000474-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/000474/000474-dvigatel-Audi-A4.jpeg
001407;Audi;A4;2005;Двигатель;;дизель;3.0;TDI;АКПП;Седан;;;;;;;BKN;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1450;USD;;;;;;https://bas.avax.by/zap_images/001407/001407-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/001407/001407-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/001407/001407-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/001407/001407-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/001407/001407-dvigatel-Audi-A4.jpeg
003779;Audi;A4;2005;Двигатель;;дизель;2.0;TDI;Вариатор;Седан;;;;;;;BLB;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/003779/003779-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/003779/003779-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/003779/003779-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/003779/003779-dvigatel-Audi-A4.jpeg,https://bas.avax.by/zap_images/003779/003779-dvigatel-Audi-A4-3.jpeg
004021;Audi;A4;2006;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BLB;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/004021/004021-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/004021/004021-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/004021/004021-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/004021/004021-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/004021/004021-dvigatel-Audi-A4.jpeg
002490;Audi;A4;2006;Двигатель;;дизель;1.8;TDI;МКПП;Седан;;;;;;;BLB;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/002490/002490-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/002490/002490-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/002490/002490-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/002490/002490-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/002490/002490-dvigatel-Audi-A4.jpeg
003597;Audi;A4;2007;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BPW;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;800;USD;;;;;;https://bas.avax.by/zap_images/003597/003597-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/003597/003597-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/003597/003597-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/003597/003597-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/003597/003597-dvigatel-Audi-A4.jpeg
